name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
fructose-6-phosphate-2,F6P-2,C6H11O9P-2,aq,Lprep,NA,2025/06/20,HKF,cal,-415600,-538200,30.47,28,100.16,5.282,55,-3.176,-2.25,75.6,-18,1.21,-2
fructose-6-phosphate-1,F6P-,C6H12O9P-1,aq,Lprep,NA,2025/06/24,HKF,cal,-424500,-536800,64.94,79.12,126.68,8.136,61.97,-5.92,-2.538,86.9,-7.55,-0.83,-1
fructose-6-phosphate,F6P,C6H13O9P,aq,Lprep,NA,2025/06/24,HKF,cal,-426400,-534900,77.77,109.55,143.93,9.921,66.32,-7.63,-2.72,90.82,-1.32,-2.35,0
galactose-1-phosphate-2,G1P-2,C6H11O9P-2,aq,Lprep,NA,2025/06/24,HKF,cal,-417800,-543000,21.65,34.02,99.54,6.14,50.33,-9.49,0.833,67.88,-11.24,1.21,-2
galactose-1-phosphate-1,G1P-,C6H12O9P-1,aq,Lprep,NA,2025/06/24,HKF,cal,-426600,-541600,56.12,85.14,126.09,8.996,57.31,-12.23,0.544,79.18,-0.79,-0.83,-1
galactose-1-phosphate,G1P,C6H13O9P,aq,Lprep,NA,2025/06/24,HKF,cal,-428300,-539700,68.14,115.56,143.33,10.78,61.66,-13.94,0.364,83.1,5.44,-2.35,0
glucose-6-phosphate-2,G6P-2,C6H11O9P-2,aq,Lprep,NA,2025/06/24,HKF,cal,-418000,-544900,16.04,46.91,106.05,5.731,57.31,-1.66,-2.514,84.15,-12.9,1.21,-2
glucose-6-phosphate-1,G6P-,C6H12O9P-1,aq,Lprep,NA,2025/06/24,HKF,cal,-426600,-544700,45.7,98.04,132.6,8.587,64.29,-4.4,-2.801,95.46,-2.45,-0.83,-1
glucose-6-phosphate,G6P,C6H13O9P,aq,Lprep,NA,2025/06/24,HKF,cal,-428500,-542800,58.53,128.49,149.84,10.37,68.64,-6.12,-2.983,99.4,3.78,-2.35,0
mannose-6-phosphate-2,M6P-2,C6H11O9P-2,aq,Lprep,NA,2025/06/24,HKF,cal,-417500,-541100,27.27,25.28,100.98,6.26,50.96,-10.44,1.048,59.49,-11.41,1.21,-2
mannose-6-phosphate-1,M6P-,C6H12O9P-1,aq,Lprep,NA,2025/06/24,HKF,cal,-426400,-539400,62.55,76.4,127.51,9.116,57.93,-13.18,0.759,70.79,-0.96,-0.83,-1
mannose-6-phosphate,M6P,C6H13O9P,aq,Lprep,NA,2025/06/24,HKF,cal,-428000,-537500,74.57,106.85,144.76,10.901,62.28,-14.89,0.579,74.71,5.28,-2.35,0
ribulosephosphate-2,R2P-2,C5H9O8P-2,aq,Lprep,NA,2025/06/24,HKF,cal,-376200,-481800,31,19.95,83.9,1.744,52.39,-6.83,0.211,70.94,-18.5,1.47,-2
ribulosephosphate-,R2P-1,C5H10O8P-,aq,Lprep,NA,2025/06/24,HKF,cal,-385500,-479000,70.7,70.98,110.41,4.598,59.37,-9.57,-0.077,82.24,-8.05,-0.56,-1
